6581,390
93,1172
4519,1545
506,22
1687,72
11469,1659
1188,4363
102,41
8229,9023
2036,693
1153,1465
6275,300
856,5147
6,14558
6,2177
56,571
1,725
357,92
76,1686
17,10389
614,1479
6581,58
23,3096
260,77
10087,2668
1382,681
56,216
1538,269
193,4471
9014,3989
75,88
394,37
92,1776
3085,40
2451,17
2253,567
1859,8637
537,3014
102,173
10234,6703
14412,5097
633,413
3757,213
6559,147
12070,58
523,7434
4793,1163
10,35
138,1597
119,22563
11143,317
34,17
549,35
3529,366
437,17
3561,630
503,401
1761,11438
2943,1027
388,1250
1736,958
35,53
320,16269
50,1733
958,4114
16728,443
10,3234
408,267
1536,1836
2983,1651
1862,19
1630,132
8276,112
2266,498
13398,57
56,27
3983,14
293,932
174,1829
788,33
4215,6789
871,5097
103,1117
6409,1042
1247,1686
6,101
264,80
8578,3635
9965,171
5,559
1569,23688
8335,109
221,261
675,3106
1247,4131
3892,2489
1241,145
136,300
60,717
27,127
3235,302
3983,13
3709,367
2899,3665
260,2
6946,461
138,5905
13815,16127
40,78
6944,332
13,6
7283,108
18000,12600
937,3908
97,6777
1298,590
251,3607
873,629
6275,3939
1110,2511
40,513
605,10
965,997
847,3
85,17962
3983,630
525,7716
18118,256
1689,22
565,194
536,17498
6559,19
2467,12
1695,841
5528,50
8276,151
2119,1218
6946,3077
3994,198
8136,67
699,27
12196,12353
264,4848
1423,6709
979,225
40,3967
143,395
15038,514
2,108
2607,199
653,1202
243,11
40,3673
2367,228
6177,994
112,6348
3529,29
6158,17
17,22
18210,4916
3156,2825
151,3303
2805,4336
767,227
17,50
1927,265
1884,4240
6275,1439
92,571
8276,10952
20,15115
3891,17
794,578
41,26
268,422
1541,59
1492,55
115,242
9305,37
1359,13
657,4
1282,284
6559,359
217,877
15551,1733
4802,1028
3546,1830
1492,1248
192,26
5021,75
49,13385
1271,5508
4938,24
1086,1424
264,1924
38,1082
174,6536
3448,131
1027,2126
2921,13414
615,610
1693,5106
8925,18281
6705,554
1173,134
1545,2138
2805,480
5523,535
6729,3492
1530,385
832,606
8995,869
6355,1705
140,58
3217,240
365,512
4368,447
1094,47
984,1267
1695,328
26689,758
2276,188
340,6254
152,3363
1729,6468
23,87
1443,2238
2285,2000
7975,1004
3760,390
2192,7434
1993,11976
32,1102
1125,15197
9,3
842,16127
12,3665
5905,2215
1523,95
1716,181
1695,174
3762,487
161,202
160,200
254,2000
15130,8
2,2419
2354,676
21,17825
5373,2183
1491,604
8384,1261
1,5732
3341,11388
1545,14
2173,20
1069,463
780,16802
13579,18
1583,7
8497,20
131,59
420,1252
140,7002
438,1028
7955,4
41,6
34,790
3897,108
280,117
13309,340
15189,319
449,20966
14,132
437,6
109,14
40,738
6627,532
29,6104
98,1813
123,116
5342,1101
1566,280
174,6345
174,64
25591,590
10615,4
19,65
683,126
105,41
555,184
933,2430
304,127
574,245
399,3500
28184,1390
14628,56
3983,298
745,3416
180,1011
2483,1428
2306,6
15038,222
65,1513
277,1133
1540,782
59,2305
19288,1121
1,36
18997,336
180,73
134,1251
25,13
26366,1145
70,69
1551,67
146,57
7048,18
25147,1682
22887,29
4680,10
1587,93
320,93
120,2641
59,4779
12,11
442,114
10141,3989
149,11299
160,324
18,14
277,154
2467,477
1907,781
10752,2395
4493,4321
871,6405
264,4
20913,268
17234,188
11281,70
502,280
2095,606
2044,426
7124,1428
3,20
80,867
2277,76
305,2127
42,7716
8276,13
53,210
429,6861
825,13
1283,7993
11767,5
354,18
1203,268
5231,54
424,292
311,17
647,8
342,1319
978,1185
1427,86
6559,145
997,17
66,1505
7,632
2,135
6068,1845
5599,1749
251,456
1173,1342
1325,19
32,58
10464,656
93,2960
1364,6777
839,595
285,113
105,938
453,355
6581,6731
2520,113
107,1294
8091,4151
2064,2539
460,2840
3613,6777
217,553
2163,792
259,6857
7701,56
24,477
2103,29
2871,2384
725,814
560,1421
307,22026
16,4162
1545,4131
554,896
2520,73
140,1288
657,4131
690,1813
2095,1484
8620,32
965,6871
380,0
297,49
408,438
748,66
3983,3990
7924,18
18314,600
1272,7985
2566,1952
11,20
640,54
2160,8773
22307,130
611,20
8110,57
9462,3184
429,672
2,0
10,10907
5231,21924
1109,7
11714,5597
6270,2
610,10952
369,1211
239,871
316,75
5,559
155,1074
97,33
149,2331
1142,11312
309,177
3983,1453
1281,215
3250,1705
5143,11438
32,3696
140,16947
5,5
17275,4131
1,1833
6718,16307
6403,13556
25,12647
3208,35
21,9356
1552,7192
437,173
280,12940
2047,31
6718,1671
1112,544
34,2757
7,2739
414,2478
1536,1235
12932,344
13398,4168
1566,83
1331,20
1212,1
434,187
233,7517
808,4020
282,4
18121,11
935,485
2372,162
646,12545
1918,3488
2934,2243
23,781
2073,24
453,2287
802,115
1325,213
1695,2604
891,790
677,723
6559,193
13227,178
3391,3980
2618,120
1270,10
103,806
657,25512
5924,85
3939,34
558,12556
8276,15179
1214,2345
5760,2855
302,398
305,2825
1319,789
4113,19627
4260,1251
8276,550
20,6709
141,378
407,1859
14,6075
11438,0
18422,1990
18714,60
17,36
3994,8488
3760,5603
2263,1074
75,190
1927,344
8,6038
18305,984
149,248
18422,26133
1598,1902
41,1400
2066,23
313,2587
675,1633
6267,133
1362,575
52,98
9,77
310,56
2445,3
8276,553
217,404
1698,20700
26,351
2943,148
215,1686
2266,1413
1907,1903
5065,1850
5695,8127
3218,4955
980,185
99,36
8320,1132
1287,7
5541,4148
1158,1651
1846,176
452,3385
1060,513
123,2020
261,3363
635,296
2445,793
89,1420
7296,512
6005,2183
27496,485
10805,95
109,2719
573,75
276,18035
1331,4082
6705,6319
19810,1856
1246,449
6581,422
576,56
4323,130
119,1534
2,284
2153,4779
477,33
1689,12877
513,176
25147,3462
2467,199
1566,1635
92,57
7431,46
2199,568
378,9658
1121,51
6559,2259
5672,362
5657,518
81,2238
2106,2153
1141,330
2,1365
1033,4133
344,64
1179,750
6559,1574
5657,672
4113,4131
264,7094
329,790
316,3
2151,53
3760,239
6,3
182,2
7931,11415
9216,438
225,36
484,26564
290,1282
1079,150
1184,58
41,39
4215,1328
429,1069
260,14
111,183
1635,9
102,14
24351,24517
1742,2595
24310,4
4255,322
415,359
108,7
527,292
13994,113
6581,1740
1964,4160
530,1292
15364,1030
237,646
30,39
2479,7127
980,10
205,42
43,14
4357,538
264,4509
12377,29020
13,2069
313,375
90,366
13229,810
1974,2895
1051,4
643,1801
948,9169
1643,2472
15617,5691
5454,76
4835,398
67,6709
15995,144
102,6218
25,1251
103,6
307,29
4500,701
1603,13
3985,84
102,95
3240,21101
478,94
3096,16127
11438,238
916,517
12490,251
6559,4408
6721,2048
64,523
5143,6
8276,10472
12070,32
2021,653
3777,448
2222,83
9462,216
5,809
5576,9
1022,119
124,9652
760,4307
1173,79
27385,1500
41,1253
310,2174
350,1739
979,42
2123,19
82,462
574,11781
965,261
24,273
2292,54
248,17825
9989,3
780,1282
8738,1513
180,201
15130,12
302,638
3953,1393
864,18585
271,87
403,1292
1508,3763
15038,60
1053,55
174,2935
1152,3096
136,758
24026,10756
3529,867
185,10907
3382,3289
264,20631
4140,194
10003,3905
287,979
3237,274
4,2496
4457,3
443,1664
2326,1420
2314,7002
984,0
2,6709
163,2153
3858,354
88,1441
3270,11916
1920,869
558,21945
6643,6
12,2320
11457,236
732,409
3529,1512
27,297
2397,19
7924,500
9,16155
1282,2003
839,1299
23,903
12,56
3496,674
5458,129
3757,3375
1445,1393
5405,523
1907,47
11,1298
3791,1132
4880,706
5373,108
10274,17017
39,562
7142,24
53,35
9305,134
221,14
245,5896
1062,245
17663,1
3156,426
9203,11973
2,15197
1998,1686
2280,4069
230,4
5,6709
30100,3637
26,4
978,2
254,548
552,183
489,33
289,1177
3668,367
28970,11435
1487,7193
18,6218
139,1170
174,519
3099,4
7350,251
2347,1142
26,1608
510,3372
945,166
22753,41
2783,204
1096,942
169,9045
20815,3635
1766,828
11726,4457
1450,1686
910,697
1003,205
3496,268
560,661
428,2757
132,10830
999,1052
8276,6924
788,3079
188,2531
169,54
22444,184
2036,867
99,284
6581,23688
3841,330
103,41
5506,2181
605,142
102,230
3557,483
7627,3835
293,187
151,296
8707,6
164,57
182,1
2397,4131
4831,1649
70,13
13238,2
8836,1428
2849,1838
333,2
431,268
2137,8
15773,61
308,84
388,3349
269,738
1450,22431
3979,687
1907,22
102,8076
2824,424
1245,354
17,6731
399,159
1246,6709
8999,483
75,114
8509,3841
16,1290
449,48
33,123
264,1082
5695,3733
3772,151
192,1439
610,1682
1109,1
7523,10005
41,629
74,44
234,547
5760,847
2203,1671
19333,4964
3127,141
28184,1091
82,684
4816,145
8276,1
161,655
8472,72
154,10289
1620,86
101,48
1248,45
3155,161
2484,304
11,1750
1704,1708
1164,892
26847,446
3284,1132
154,3461
2397,681
17654,1400
22,331
27496,1734
56,123
1510,199
514,48
2,7
6275,37
2854,1633
205,0
20,1
10515,3084
1125,216
5133,6076
13,261
8925,131
494,28
4631,313
12932,133
1325,1775
376,6731
5,203
3792,1
299,4
962,114
1075,527
1574,176
349,7127
116,2739
11714,45
50,493
518,4850
